"ID","ArchivoCopiado","UltimaCarpetaOrigen","RutaCompletaOrigen","RutaDestino","FechaModificacion","TamanoKB"
"0001","0001__actividad-01-selector-demo__SESSION_LOG.md","actividad-01-selector-demo","C:\2026\ipv-matchmaking\.worktrees\actividad-01-selector-demo\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0001__actividad-01-selector-demo__SESSION_LOG.md","06/04/2026 11:42:31 p. m.","39.32"
"0002","0002__actividad-02-normalizacion-logos-demo__SESSION_LOG.md","actividad-02-normalizacion-logos-demo","C:\2026\ipv-matchmaking\.worktrees\actividad-02-normalizacion-logos-demo\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0002__actividad-02-normalizacion-logos-demo__SESSION_LOG.md","06/04/2026 11:42:32 p. m.","39.94"
"0003","0003__actividad-03-mapeo-logos__SESSION_LOG.md","actividad-03-mapeo-logos","C:\2026\ipv-matchmaking\.worktrees\actividad-03-mapeo-logos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0003__actividad-03-mapeo-logos__SESSION_LOG.md","06/04/2026 11:42:32 p. m.","40.42"
"0004","0004__actividad-04-recursos-externos-evento__SESSION_LOG.md","actividad-04-recursos-externos-evento","C:\2026\ipv-matchmaking\.worktrees\actividad-04-recursos-externos-evento\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0004__actividad-04-recursos-externos-evento__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","40.99"
"0005","0005__actividad-05-ver-cuadro-competencia__SESSION_LOG.md","actividad-05-ver-cuadro-competencia","C:\2026\ipv-matchmaking\.worktrees\actividad-05-ver-cuadro-competencia\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0005__actividad-05-ver-cuadro-competencia__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","41.49"
"0006","0006__actividad-06-demo-pequeno-rapido__SESSION_LOG.md","actividad-06-demo-pequeno-rapido","C:\2026\ipv-matchmaking\.worktrees\actividad-06-demo-pequeno-rapido\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0006__actividad-06-demo-pequeno-rapido__SESSION_LOG.md","06/04/2026 11:42:33 p. m.","42.1"
"0007","0007__actividad-07-podio-evento-categoria__SESSION_LOG.md","actividad-07-podio-evento-categoria","C:\2026\ipv-matchmaking\.worktrees\actividad-07-podio-evento-categoria\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0007__actividad-07-podio-evento-categoria__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","42.89"
"0008","0008__actividad-08-resumen-financiero-visible__SESSION_LOG.md","actividad-08-resumen-financiero-visible","C:\2026\ipv-matchmaking\.worktrees\actividad-08-resumen-financiero-visible\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0008__actividad-08-resumen-financiero-visible__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","43.43"
"0009","0009__actividad-09-persistencia-remota-financiera__SESSION_LOG.md","actividad-09-persistencia-remota-financiera","C:\2026\ipv-matchmaking\.worktrees\actividad-09-persistencia-remota-financiera\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0009__actividad-09-persistencia-remota-financiera__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","44.11"
"0010","0010__actividad-10-clasificacion-grupos__SESSION_LOG.md","actividad-10-clasificacion-grupos","C:\2026\ipv-matchmaking\.worktrees\actividad-10-clasificacion-grupos\SESSION_LOG.md","C:\2026\_RECOVERY_SESSION_LOGS\0010__actividad-10-clasificacion-grupos__SESSION_LOG.md","06/04/2026 11:42:34 p. m.","44.86"
